説明(英語),説明(英語)
K2 : Second camera intrinsic matrix.,K2 : Second camera intrinsic matrix.
D2 : Second camera distortion parameters.,D2 : Second camera distortion parameters.
R : Rotation matrix between the coordinate systems of the first and the second cameras.,R : 第一カメラと第二カメラの座標系間の回転行列
tvec : Translation vector between coordinate systems of the cameras.,tvec :カメラの座標系間の移動ベクトル
R1 : Output 3x3 rectification transform (rotation matrix) for the first camera.,R1 : 1台目のカメラの3×3平行化変換（回転行列）を出力。
R2 : Output 3x3 rectification transform (rotation matrix) for the second camera.,R2 : 2台目のカメラの3x3直交変換（回転行列）を出力。
P1 : Output 3x4 projection matrix in the new (rectified) coordinate systems for the first camera.,P1 : 1台目のカメラの新しい（平行化された）座標系への3x4投影行列を出力。
P2 : Output 3x4 projection matrix in the new (rectified) coordinate systems for the second camera.,P2 : 2台目のカメラの新しい（平行化された）座標系における3x4の射影行列を出力。
Q : Output \(4 \times 4\) disparity-to-depth mapping matrix (see reprojectImageTo3D ).,Q : 視差-深度マッピング行列（reprojectImageTo3D 参照）を出力．
"flags : Operation flags that may be zero or fisheye::CALIB_ZERO_DISPARITY . If the flag is set, the function makes the principal points of each camera have the same pixel coordinates in the rectified views. And if the flag is not set, the function may still shift the images in the horizontal or vertical direction (depending on the orientation of epipolar lines) to maximize the useful image area.",flags :ゼロまたは fisheye::CALIB_ZERO_DISPARITY のいずれかの操作フラグ．このフラグがセットされている場合，この関数は，各カメラの主点が，平行化されたビューにおいて同じピクセル座標になるようにします．また，このフラグがセットされていない場合でも，有用な画像領域を最大化するために，（エピポーラ線の向きに応じて）画像を水平方向あるいは垂直方向に移動させることができます．
"newImageSize : New image resolution after rectification. The same size should be passed to initUndistortRectifyMap (see the stereo_calib.cpp sample in OpenCV samples directory). When (0,0) is passed (default), it is set to the original imageSize . Setting it to larger value can help you preserve details in the original image, especially when there is a big radial distortion.","newImageSize : 整形後の新しい画像解像度．同じサイズを initUndistortRectifyMap に渡す必要があります（OpenCV のサンプルディレクトリにある stereo_calib.cpp のサンプルを参照してください）．(0,0) が渡された場合（デフォルト），これは元の imageSize に設定されます．より大きな値を設定することで，特に半径方向に大きな歪みがある場合に，元の画像の詳細を保持することができます．"
Performs stereo calibration.,ステレオキャリブレーションを行います．
objectPoints : Vector of vectors of the calibration pattern points.,objectPoints :キャリブレーションパターンのポイントを示すベクター
"imagePoints1 : Vector of vectors of the projections of the calibration pattern points, observed by the first camera.",imagePoints1 : 1台目のカメラで観測された，キャリブレーションパターン点の投影像のベクトル．
"imagePoints2 : Vector of vectors of the projections of the calibration pattern points, observed by the second camera.",imagePoints2 : 2台目のカメラで観測したキャリブレーションパターン点の投影結果のベクトル。
"K1 : Input/output first camera intrinsic matrix: \(\vecthreethree{f_x^{(j)}}{0}{c_x^{(j)}}{0}{f_y^{(j)}}{c_y^{(j)}}{0}{0}{1}\) , \(j = 0,\, 1\) . If any of fisheye::CALIB_USE_INTRINSIC_GUESS , fisheye::CALIB_FIX_INTRINSIC are specified, some or all of the matrix components must be initialized.","K1 : 1台目のカメラの固有マトリクスを入出力します。\(\vecthreethree{f_x^{(j)}}{0}{c_x^{(j)}}{0}{f_y^{(j)}}{c_y^{(j)}}{0}{0}{1}\), \(j = 0,\, 1\) .fisheye::CALIB_USE_INTRINSIC_GUESS , fisheye::CALIB_FIX_INTRINSIC のいずれかが指定された場合は，行列成分の一部または全部を初期化する必要がある。"
D1 : Input/output vector of distortion coefficients \(\distcoeffsfisheye\) of 4 elements.,D1 ：4要素の歪曲係数ベクトル\(distcoeffsfisheye\)。
K2 : Input/output second camera intrinsic matrix. The parameter is similar to K1 .,K2 : 2 台目のカメラの固有マトリクスを入出力します．K1 と同様のパラメータです。
D2 : Input/output lens distortion coefficients for the second camera. The parameter is similar to D1 .,D2 ：入出力されるセカンドカメラのレンズディストーション係数。このパラメータはD1と同様です．
imageSize : Size of the image used only to initialize camera intrinsic matrix.,imageSize : カメラ固有の行列を初期化するためにのみ使用される画像のサイズ．
R : Output rotation matrix between the 1st and the 2nd camera coordinate systems.,R : 第1カメラと第2カメラの座標系間の回転行列を出力．
T : Output translation vector between the coordinate systems of the cameras.,T : カメラの座標系間の並進ベクトルを出力．
"fisheye::CALIB_FIX_INTRINSIC Fix K1, K2? and D1, D2? so that only R, T matrices are estimated.","fisheye::CALIB_FIX_INTRINSIC K1, K2? とD1, D2? を固定し、R, T行列のみが推定されるようにします。"
"fisheye::CALIB_USE_INTRINSIC_GUESS K1, K2 contains valid initial values of fx, fy, cx, cy that are optimized further. Otherwise, (cx, cy) is initially set to the image center (imageSize is used), and focal distances are computed in a least-squares fashion.","fisheye::CALIB_USE_INTRINSIC_GUESS K1, K2 に有効な初期値 fx, fy, cx, cy が含まれており、さらに最適化される。それ以外の場合は，(cx, cy)が画像中心に初期設定され（imageSizeが使用される），最小二乗法で焦点距離が計算される。"
Computes disparity map for the specified stereo pair.,指定されたステレオペアの視差マップを計算します．
left : Left 8-bit single-channel image.,left : 8ビットシングルチャンネルの左画像．
right : Right image of the same size and the same type as the left one.,right : 左の画像と同じサイズ，同じ種類の右の画像．
"disparity : Output disparity map. It has the same size as the input images. Some algorithms, like StereoBM or StereoSGBM compute 16-bit fixed-point disparity map (where each disparity value has 4 fractional bits), whereas other algorithms output 32-bit floating-point disparity map.",disparity : 視差マップの出力．入力画像と同じサイズになります．StereoBMやStereoSGBMのように，16ビット固定小数点型の視差マップ（各視差の値が4ビットの小数である）を計算するアルゴリズムもあれば，32ビット浮動小数点型の視差マップを出力するアルゴリズムもあります．
Implemented in cv::cuda::StereoSGM.,cv::cuda::StereoSGM で実装されています．
"Class for computing stereo correspondence using the block matching algorithm, introduced and contributed to OpenCV by K. Konolige. ",K. KonoligeによってOpenCVに導入・貢献された，ブロックマッチングアルゴリズムを用いてステレオ対応点を計算するためのクラス．
Creates StereoBM object.,StereoBM オブジェクトを作成します．
numDisparities : the disparity search range. For each pixel algorithm will find the best disparity from 0 (default minimum disparity) to numDisparities. The search range can then be shifted by changing the minimum disparity.,numDisparities : 視差の探索範囲．各ピクセルに対して，アルゴリズムは，0（デフォルトの最小視差）から numDisparities までの範囲で，最適な視差を見つけます．そして，最小視差を変更することで，探索範囲を移動させることができます．
"blockSize : the linear size of the blocks compared by the algorithm. The size should be odd (as the block is centered at the current pixel). Larger block size implies smoother, though less accurate disparity map. Smaller block size gives more detailed disparity map, but there is higher chance for algorithm to find a wrong correspondence.",blockSize : アルゴリズムによって比較されるブロックの線形サイズです．このサイズは奇数でなければいけません（ブロックの中心が現在のピクセルになるからです）．ブロックサイズを大きくすると，視差マップの精度は落ちるものの，より滑らかになります．ブロックサイズが小さければ，より詳細な視差マップが得られますが，アルゴリズムが間違った対応関係を見つけてしまう可能性が高くなります．
The function create StereoBM object. You can then call StereoBM::compute() to compute disparity for a specific stereo pair.,この関数は，StereoBM オブジェクトを作成します．そして，StereoBM::compute() を呼び出して，特定のステレオペアの視差を計算することができます．
The class implements the modified H. Hirschmuller algorithm [111] that differs from the original one as follows: ,このクラスは，修正された H. Hirschmuller アルゴリズム [111] を実装しており，オリジナルのアルゴリズムとは以下のように異なります．
"By default, the algorithm is single-pass, which means that you consider only 5 directions instead of 8. Set mode=StereoSGBM::MODE_HH in createStereoSGBM to run the full variant of the algorithm but beware that it may consume a lot of memory.",createStereoSGBM で mode=StereoSGBM::MODE_HH を設定すると，アルゴリズムの完全なバリエーションが実行されますが，大量のメモリを消費する可能性があることに注意してください．
"The algorithm matches blocks, not individual pixels. Though, setting blockSize=1 reduces the blocks to single pixels.",このアルゴリズムは、個々のピクセルではなく、ブロックをマッチングします。ただし、blockSize=1を設定すると、ブロックが単一のピクセルに縮小されます。
"Mutual information cost function is not implemented. Instead, a simpler Birchfield-Tomasi sub-pixel metric from [23] is used. Though, the color images are supported as well.",相互情報コスト関数は実装されていません。代わりに、[23]のより単純なBirchfield-Tomasiサブピクセルメトリックが使用されます。ただし、カラー画像にも対応しています。
"Some pre- and post- processing steps from K. Konolige algorithm StereoBM are included, for example: pre-filtering (StereoBM::PREFILTER_XSOBEL type) and post-filtering (uniqueness check, quadratic interpolation and speckle filtering).",K. KonoligeのアルゴリズムであるStereoBMのいくつかの前処理および後処理ステップが含まれています。例えば，プレフィルタリング（StereoBM::PREFILTER_XSOBEL型）およびポストフィルタリング（一意性チェック，2次補間，スペックルフィルタリング）があります。
(Python) An example illustrating the use of the StereoSGBM matching algorithm can be found at opencv_source_code/samples/python/stereo_match.py ,(Python) StereoSGBM マッチングアルゴリズムの使用例は、opencv_source_code/samples/python/stereo_match.py にあります。
Creates StereoSGBM object.,StereoSGBMオブジェクトを作成します。
"minDisparity : Minimum possible disparity value. Normally, it is zero but sometimes rectification algorithms can shift images, so this parameter needs to be adjusted accordingly.",minDisparity : 視差の最小値を指定します．通常は0ですが，平行化アルゴリズムによって画像がずれることがあるので，このパラメータを適宜調整する必要があります．
"numDisparities : Maximum disparity minus minimum disparity. The value is always greater than zero. In the current implementation, this parameter must be divisible by 16.",numDisparities :最大視差量から最小視差量を引いた値．この値は常にゼロよりも大きくなります．現在の実装では，このパラメータは16で割り切れる値でなければいけません．
"blockSize : Matched block size. It must be an odd number >=1 . Normally, it should be somewhere in the 3..11 range.",blockSize : 適合するブロックサイズ．奇数 >=1 である必要があります．通常は，3～11の範囲内の値を指定します．
P1 : The first parameter controlling the disparity smoothness. See below.,P1 : 視差の滑らかさを制御する最初のパラメータです．後述します。
"P2 : The second parameter controlling the disparity smoothness. The larger the values are, the smoother the disparity is. P1 is the penalty on the disparity change by plus or minus 1 between neighbor pixels. P2 is the penalty on the disparity change by more than 1 between neighbor pixels. The algorithm requires P2 > P1 . See stereo_match.cpp sample where some reasonably good P1 and P2 values are shown (like 8*number_of_image_channels*blockSize*blockSize and 32*number_of_image_channels*blockSize*blockSize , respectively).",P2 : 視差の滑らかさを制御する2番目のパラメータです。値が大きくなるほど、視差が滑らかになります。P1は，隣接するピクセル間のプラスマイナス1の視差の変化に対するペナルティです．P2は，隣接するピクセル間で1以上の視差の変化があった場合のペナルティです．このアルゴリズムでは，P2 > P1 である必要があります．stereo_match.cpp のサンプルには，適度な P1 と P2 の値が示されています（それぞれ，8*number_of_image_channels*blockSize*blockSize と 32*number_of_image_channels*blockSize*blockSize など）．
disp12MaxDiff : Maximum allowed difference (in integer pixel units) in the left-right disparity check. Set it to a non-positive value to disable the check.,disp12MaxDiff ：左右の視差チェックで許容される最大の差（整数ピクセル単位）。チェックを無効にするには，この値を非正の値に設定してください．
"preFilterCap : Truncation value for the prefiltered image pixels. The algorithm first computes x-derivative at each pixel and clips its value by [-preFilterCap, preFilterCap] interval. The result values are passed to the Birchfield-Tomasi pixel cost function.","preFilterCap : 事前にフィルタリングされた画像のピクセルに対する切り捨て値．このアルゴリズムでは、まず各画素のx-derivativeを計算し、その値を[-preFilterCap, preFilterCap]間隔で切り詰めます。その結果を、Birchfield-Tomasiのピクセルコスト関数に渡します。"
"uniquenessRatio : Margin in percentage by which the best (minimum) computed cost function value should ""win"" the second best value to consider the found match correct. Normally, a value within the 5-15 range is good enough.",uniquenessRatio :最良（最小）のコスト関数の値が、2番目に良い値に「勝つ」ことで、見つかったマッチが正しいと判断されるマージンをパーセントで指定します。通常は、5〜15の範囲内の値であれば十分です。
"speckleWindowSize : Maximum size of smooth disparity regions to consider their noise speckles and invalidate. Set it to 0 to disable speckle filtering. Otherwise, set it somewhere in the 50-200 range.",speckleWindowSize : ノイズ・スペックルを考慮して無効化する，滑らかな視差領域の最大サイズ．0に設定するとスペックルフィルタリングが無効になります。それ以外の場合は、50-200の範囲で設定してください。
"speckleRange : Maximum disparity variation within each connected component. If you do speckle filtering, set the parameter to a positive value, it will be implicitly multiplied by 16. Normally, 1 or 2 is good enough.",speckleRange : 各連結成分内の最大視差変動量。speckle filteringを行う場合、パラメータに正の値を設定すると、暗黙のうちに16倍されます。通常は、1または2で十分です。
"mode : Set it to StereoSGBM::MODE_HH to run the full-scale two-pass dynamic programming algorithm. It will consume O(W*H*numDisparities) bytes, which is large for 640x480 stereo and huge for HD-size pictures. By default, it is set to false .",mode :StereoSGBM::MODE_HHに設定すると，本格的な2パス・ダイナミック・プログラミング・アルゴリズムが実行される。これは，O(W*H*numDisparities)バイトを消費するが，640x480ステレオでは大きく，HDサイズの画像では巨大である．デフォルトでは，これは false に設定されています．
"The first constructor initializes StereoSGBM with all the default parameters. So, you only have to set StereoSGBM::numDisparities at minimum. The second constructor enables you to set each parameter to a custom value.",最初のコンストラクタは，すべてのデフォルトパラメータで StereoSGBM を初期化します。そのため，StereoSGBM::numDisparities を最小値に設定するだけでよいです。2番目のコンストラクタでは，各パラメータをカスタム値に設定することができます。
Sets/resets the break-on-error mode.,ブレークオンエラーモードの設定/リセット。
"When the break-on-error mode is set, the default error handler issues a hardware exception, which can make debugging more convenient.Examples: samples/cpp/stitching_detailed.cpp.",ブレークオンエラーモードが設定されていると、デフォルトのエラーハンドラがハードウェア例外を発行するので、デバッグが便利になります。例：samples/cpp/stitching_detailed.cpp.
Sets the new error handler and the optional user data.,新しいエラーハンドラと、オプションのユーザデータを設定します。
"errCallback : the new error handler. If NULL, the default error handler is used.",errCallback : 新しいエラーハンドラです。NULLの場合は、デフォルトのエラーハンドラが使用されます。
"userdata : the optional user data pointer, passed to the callback.",userdata : コールバックに渡される，オプションのユーザーデータポインタ．
prevUserdata : the optional output parameter where the previous user data pointer is stored,prevUserdata : 前のユーザデータポインタが格納される，オプションの出力パラメータ．
"The function sets the new error handler, called from cv::error().",この関数は，cv::error()から呼び出される新しいエラーハンドラを設定します．
Examples: samples/cpp/train_HOG.cpp.,例： samples/cpp/train_HOG.cpp.
OpenCV will try to set the number of threads for the next parallel region.,OpenCV は，次の並列領域のスレッド数の設定を試みます．
"If threads == 0, OpenCV will disable threading optimizations and run all it's functions sequentially. Passing threads < 0 will reset threads number to system default. This function must be called outside of parallel region.OpenCV will try to run its functions with specified threads number, but some behaviour differs from framework:TBB - User-defined parallel constructions will run with the same threads number, if another is not specified. If later on user creates his own scheduler, OpenCV will use it.",threads == 0 の場合，OpenCV はスレッド最適化を無効にし，すべての関数を逐次実行します．threads < 0 を渡すと，スレッド数がシステムのデフォルトにリセットされます．OpenCV は，指定されたスレッド数で関数を実行しようとしますが，いくつかの動作はフレームワークと異なります： TBB - ユーザ定義の並列構造は，別のスレッドが指定されなければ，同じスレッド数で実行されます．後にユーザが独自のスケジューラを作成した場合，OpenCVはそれを使用します．
OpenMP - No special defined behaviour.,OpenMP - 特別に定義された動作はありません．
"Concurrency - If threads == 1, OpenCV will disable threading optimizations and run its functions sequentially.",Concurrency - threads == 1 の場合，OpenCV はスレッドの最適化を無効にし，その関数を順次実行します．
GCD - Supports only values <= 0.,GCD - <= 0 の値のみをサポートします．
C= - No special defined behaviour. Parameters,C= - 特別な定義はありません．パラメータ
    nthreadsNumber of threads used by OpenCV. ,    nthreads OpenCV が利用するスレッド数．
"See alsogetNumThreads, getThreadNum","関連項目： getNumThreads, getThreadNum"
Returns the number of threads used by OpenCV for parallel regions.,OpenCVが並列領域で利用するスレッド数を返します．
"Always returns 1 if OpenCV is built without threading support.The exact meaning of return value depends on the threading framework used by OpenCV library:TBB - The number of threads, that OpenCV will try to use for parallel regions. If there is any tbb::thread_scheduler_init in user code conflicting with OpenCV, then function returns default number of threads used by TBB library.",OpenCVがスレッドをサポートせずに構築されている場合は，常に1を返します．戻り値の正確な意味は，OpenCVライブラリで利用されているスレッドフレームワークに依存します：TBB - OpenCVが並列領域に利用しようとするスレッド数．ユーザコード内の tbb::thread_scheduler_init が OpenCV と衝突している場合，この関数は TBB ライブラリで利用されるデフォルトのスレッド数を返します．
OpenMP - An upper bound on the number of threads that could be used to form a new team.,OpenMP - 新しいチームを形成するために使用されるスレッド数の上限。
"Concurrency - The number of threads, that OpenCV will try to use for parallel regions.",Concurrency - OpenCV が並列領域に利用しようとするスレッド数．
GCD - Unsupported; returns the GCD thread pool limit (512) for compatibility.,GCD - サポートされていません．互換性のために，GCD スレッドプールの上限（512）を返します．
"C= - The number of threads, that OpenCV will try to use for parallel regions, if before called setNumThreads with threads > 0, otherwise returns the number of logical CPUs, available for the process. See alsosetNumThreads, getThreadNum","C= - OpenCV が並列領域で利用しようとするスレッド数． setNumThreads を呼び出す前に threads > 0 であれば，プロセスで利用可能な論理 CPU の数が返されます．関連項目： setNumThreads, getThreadNum"
Returns the index of the currently executed thread within the current parallel region. Always returns 0 if called outside of parallel region.,現在の並列領域内で、現在実行されているスレッドのインデックスを 返します。並列領域の外から呼び出された場合は、常に 0 を返します。
Deprecated:Current implementation doesn't corresponding to this documentation.The exact meaning of the return value depends on the threading framework used by OpenCV library:TBB - Unsupported with current 4.1 TBB release. Maybe will be supported in future.,Deprecated：現在の実装は，このドキュメントに対応していません．戻り値の正確な意味は，OpenCV ライブラリで利用されているスレッドフレームワークに依存します： TBB - 現在の 4.1 TBB リリースではサポートされていません．将来的にはサポートされるかもしれません．
"OpenMP - The thread number, within the current team, of the calling thread.",OpenMP - 呼び出したスレッドの，現在のチーム内のスレッド番号．
"Concurrency - An ID for the virtual processor that the current context is executing on (0 for master thread and unique number for others, but not necessary 1,2,3,...).","Concurrency - 現在のコンテキストが実行されている仮想プロセッサのID (マスタースレッドは0，その他は一意の番号，ただし，1,2,3,...は不要)．"
GCD - System calling thread's ID. Never returns 0 inside parallel region.,GCD - システムを呼び出すスレッドのID。並列領域内では決して0を返しません。
"C= - The index of the current parallel task. See alsosetNumThreads, getNumThreads","C= - 現在の並列タスクのインデックスです．関連項目： setNumThreads, getNumThreads"
Returns full configuration time cmake output.,完全な設定時間の cmake 出力を返します。
"Returned value is raw cmake output including version control system revision, compiler version, compiler flags, enabled modules and third party libraries, etc. Output format depends on target architecture.",返される値は、バージョンコントロールシステムのリビジョン、コンパイラのバージョン、コンパイラフラグ、有効なモジュールやサードパーティライブラリなどを含む生の cmake 出力です。出力形式はターゲットのアーキテクチャに依存します。
Returns library version string.,ライブラリのバージョンを文字列で返します。
"For example ""3.4.1-dev"".See alsogetMajorVersion, getMinorVersion, getRevisionVersion","getMajorVersion, getMinorVersion, getRevisionVersionも参照してください。"
Returns major library version.,ライブラリのメジャーバージョンを返します。
Returns minor library version.,ライブラリのメジャーバージョンを返します マイナーバージョンを返します
Returns revision field of the library version.,ライブラリのバージョンのリビジョン欄を返します
Returns the number of ticks.,刻みの数を返します。
"The function returns the number of ticks after the certain event (for example, when the machine was turned on). It can be used to initialize RNG or to measure a function execution time by reading the tick count before and after the function call.See alsogetTickFrequency, TickMeterExamples: fld_lines.cpp, samples/cpp/facedetect.cpp, samples/cpp/image_alignment.cpp, samples/cpp/peopledetect.cpp, samples/cpp/stitching_detailed.cpp, samples/cpp/watershed.cpp, samples/tapi/hog.cpp, and samples/tapi/squares.cpp.",この関数は、特定のイベント（例えば、マシンの電源が入った時など）の後のティック数を返します。他にもgetTickFrequency、TickMeterExamples: fld_lines.cpp、samples/cpp/facedetect.cpp、samples/cpp/image_alignment.cpp、samples/cpp/peopledetect.cpp、samples/cpp/stitching_detailed.cpp、samples/cpp/watershed.cpp、samples/tapi/hog.cpp、samples/tapi/squares.cppを参照してください。
Returns the number of ticks per second.,1秒あたりの目盛りの数を返します。
"The function returns the number of ticks per second. That is, the following code computes the execution time in seconds:double t = (double)getTickCount();// do something ...t = ((double)getTickCount() - t)/getTickFrequency();fragmentSee alsogetTickCount, TickMeterExamples: fld_lines.cpp, samples/cpp/facedetect.cpp, samples/cpp/image_alignment.cpp, samples/cpp/peopledetect.cpp, samples/cpp/stitching_detailed.cpp, samples/cpp/watershed.cpp, samples/dnn/classification.cpp, samples/dnn/object_detection.cpp, samples/dnn/segmentation.cpp, samples/tapi/hog.cpp, and samples/tapi/squares.cpp.","この関数は、1秒あたりの目盛りの数を返します。つまり、次のコードは、実行時間を秒単位で計算します。double t = (double)getTickCount();// 何かをする ...t = ((double)getTickCount() - t)/getTickFrequency();fragmentSee alsogetTickCount, TickMeterExamples: fld_lines.cpp, samples/cpp/facedetect.cpp、samples/cpp/image_alignment.cpp、samples/cpp/peopledetect.cpp、samples/cpp/stitching_detailed.cpp、samples/cpp/watershed.cpp、samples/dnn/classification.cpp、samples/dnn/object_detection.cpp、samples/dnn/segmentation.cpp、samples/tapi/hog.cpp、samples/tapi/squares.cppがあります。"
Returns the number of CPU ticks.,CPUティック数を返します。
"The function returns the current number of CPU ticks on some architectures (such as x86, x64, PowerPC). On other platforms the function is equivalent to getTickCount. It can also be used for very accurate time measurements, as well as for RNG initialization. Note that in case of multi-CPU systems a thread, from which getCPUTickCount is called, can be suspended and resumed at another CPU with its own counter. So, theoretically (and practically) the subsequent calls to the function do not necessary return the monotonously increasing values. Also, since a modern CPU varies the CPU frequency depending on the load, the number of CPU clocks spent in some code cannot be directly converted to time units. Therefore, getTickCount is generally a preferable solution for measuring execution time.",この関数は、一部のアーキテクチャ（x86、x64、PowerPCなど）では、現在のCPUチック数を返します。その他のプラットフォームでは，この関数はgetTickCountと同等です。この関数は，非常に正確な時間の測定や，RNGの初期化にも使用できます．マルチCPUシステムの場合，getCPUTickCountが呼び出されたスレッドは中断され，別のCPUで独自のカウンタを使って再開できることに注意してください。そのため，理論的には（そして実際には），この関数の後続の呼び出しは，単調に増加する値を返す必要はありません。また，最近のCPUは負荷に応じてCPUの周波数を変化させるため，あるコードに費やされたCPUクロック数を時間単位に直接変換することはできません。そのため、実行時間を計測するには、一般的にgetTickCountの方が望ましいとされています。
Returns true if the specified feature is supported by the host hardware.,指定された機能がホストハードウェアでサポートされている場合、trueを返します。
"feature : The feature of interest, one of cv::CpuFeatures",feature : 目的とする機能，cv::CpuFeatures の1つ．
"The function returns true if the host hardware supports the specified feature. When user calls setUseOptimized(false), the subsequent calls to checkHardwareSupport() will return false until setUseOptimized(true) is called. This way user can dynamically switch on and off the optimized code in OpenCV.",この関数は，ホストハードウェアが指定された機能をサポートしていれば，真を返します．ユーザが setUseOptimized(false) を呼び出すと，それ以降の checkHardwareSupport() は，setUseOptimized(true) が呼び出されるまで false を返します．このようにして，ユーザは OpenCV で最適化されたコードを動的にオン・オフすることができます．
Returns feature name by ID.,ID によるフィーチャー名を返します．
Returns empty string if feature is not defined,機能が定義されていない場合は，空の文字列を返します．
Returns list of CPU features enabled during compilation.,コンパイル時に有効な CPU 機能のリストを返します．
Returned value is a string containing space separated list of CPU features with following markers:no markers - baseline features,返される値は，CPU機能のリストをスペースで区切った文字列で，以下のマーカーが付いています： no markers - ベースライン機能
prefix * - features enabled in dispatcher,prefix * - ディスパッチャーで有効になった機能
suffix ? - features enabled but not available in HWExample: SSE SSE2 SSE3 *SSE4.1 *SSE4.2 *FP16 *AVX *AVX2 *AVX512-SKX?,suffix ?- 有効だがHWExampleでは使用できない機能。sse sse2 sse3 *sse4.1 *sse4.2 *fp16 *avx *avx2 *avx512-skx?
Returns the number of logical CPUs available for the process.,プロセスで使用可能な論理 CPU の数を返します。
Enables or disables the optimized code.,最適化されたコードを有効にしたり無効にしたりします。
onoff : The boolean flag specifying whether the optimized code should be used (onoff=true) or not (onoff=false).,onoff : 最適化されたコードを使用する(onoff=true)かしない(onoff=false)かを指定するブーリアンフラグです。
"The function can be used to dynamically turn on and off optimized dispatched code (code that uses SSE4.2, AVX/AVX2, and other instructions on the platforms that support it). It sets a global flag that is further checked by OpenCV functions. Since the flag is not checked in the inner OpenCV loops, it is only safe to call the function on the very top level in your application where you can be sure that no other OpenCV function is currently executed.By default, the optimized code is enabled unless you disable it in CMake. The current status can be retrieved using useOptimized.",この関数は，最適化されたディスパッチコード（SSE4.2やAVX/AVX2などの命令をサポートするプラットフォームで使用されるコード）を動的にオン／オフするために使用できます。これは，OpenCVの関数によってさらにチェックされるグローバルフラグを設定します．このフラグは，OpenCV の内部ループではチェックされないので，アプリケーションの最上位で，他の OpenCV 関数が実行されていないことが確認できる場合にのみ，この関数を呼び出すのが安全です．デフォルトでは，CMake で無効にしない限り，最適化されたコードが有効になります．現在の状態は， useOptimized で取得できます．
Returns the status of optimized code usage.,最適化されたコードの使用状況を返します．
"The function returns true if the optimized code is enabled. Otherwise, it returns false.",この関数は，最適化されたコードが有効な場合は true を返します。それ以外の場合は false を返します。
Computes the source location of an extrapolated pixel.,外挿したピクセルのソース位置を計算します。
"p : 0-based coordinate of the extrapolated pixel along one of the axes, likely <0 or >= len",p :外挿されたピクセルの，いずれかの軸に沿った0ベースの座標，<0 or >= len
len : Length of the array along the corresponding axis.,len : 対応する軸に沿った配列の長さ．
"borderType : Border type, one of the BorderTypes, except for BORDER_TRANSPARENT and BORDER_ISOLATED . When borderType==BORDER_CONSTANT , the function always returns -1, regardless of p and len.",borderType :BORDER_TRANSPARENT と BORDER_ISOLATED を除く BorderTypes のうちの 1 つ。borderType==BORDER_CONSTANT の場合，この関数は，p や len に関わらず常に -1 を返します．
"The function computes and returns the coordinate of a donor pixel corresponding to the specified extrapolated pixel when using the specified extrapolation border mode. For example, if you use cv::BORDER_WRAP mode in the horizontal direction, cv::BORDER_REFLECT_101 in the vertical direction and want to compute value of the ""virtual"" pixel Point(-5, 100) in a floating-point image img , it looks like:float val = img.at<float>(borderInterpolate(100, img.rows, cv::BORDER_REFLECT_101),                          borderInterpolate(-5, img.cols, cv::BORDER_WRAP));fragmentNormally, the function is not called directly. It is used inside filtering functions and also in copyMakeBorder.See alsocopyMakeBorder","この関数は，指定された外挿分割モードを用いた場合に，指定された外挿分割ピクセルに対応するドナーピクセルの座標を計算して返します．例えば，水平方向に cv::BORDER_WRAP モード，垂直方向に cv::BORDER_REFLECT_101 モードを利用し，浮動小数点型画像 img の「仮想」ピクセル Point(-5, 100) の値を求める場合，次のようになります： float val = img.at<float>(borderInterpolate(100, img.rows, cv::BORDER_REFLECT_101), borderInterpolate(-5, img.cols, cv::BORDER_WRAP));fragment通常，この関数が直接呼ばれることはありません．この関数は，フィルタリング関数の内部や，copyMakeBorderの中で利用されます．"
Forms a border around an image.,画像の周りに境界線を形成します。
src : Source image.,src : コピー元画像。
"dst : Destination image of the same type as src and the size Size(src.cols+left+right, src.rows+top+bottom) .","dst : src と同じ種類で，サイズが Size(src.cols+left+right, src.rows+top+bottom) である出力画像．"
top : the top pixels,top : 上側のピクセル
bottom : the bottom pixels,bottom : 下側のピクセル
left : the left pixels,left : 左側のピクセル
"right : Parameter specifying how many pixels in each direction from the source image rectangle to extrapolate. For example, top=1, bottom=1, left=1, right=1 mean that 1 pixel-wide border needs to be built.","right : ソース画像の矩形領域から各方向に何ピクセルずつ外挿するかを指定するパラメータ．例えば、top=1, bottom=1, left=1, right=1とすると、1ピクセル幅のボーダーを作成する必要があります。"
borderType : Border type. See borderInterpolate for details.,borderType :ボーダータイプ．詳細は borderInterpolateを参照してください。
value : Border value if borderType==BORDER_CONSTANT .,value : borderType==BORDER_CONSTANTの場合のボーダー値．
